journal,Stata,Matlab,RDS,Fortran,SPSS,Excel,CSV,txt,Not Reported,Total
American Economic Journal: Applied Economics,66.48,1.15,0.57,0,0.57,2.87,4.58,0.57,23.21,100
American Economic Journal: Macroeconomics,31.72,22.91,0,0.88,0,21.59,3.08,5.29,14.54,100
American Economic Journal: Microeconomics,6.48,2.78,1.85,0,0,6.48,4.63,1.85,75.93,100
American Economic Review,35.14,4.05,0,0,0,2.7,14.86,0,43.24,100
NA,88,0,0,0,0,4,8,0,0,100
