journal,Stata,Matlab,R,SAS,Fortran,Mathematica,SPSS,Eviews,Excel,Not Reported,Total
American Economic Journal: Applied Economics,313,12,6,9,0,0,3,0,1,18,362
American Economic Journal: Macroeconomics,88,98,3,8,13,6,0,5,6,16,243
American Economic Journal: Microeconomics,11,8,2,0,0,0,0,0,0,81,102
American Economic Review,39,16,1,1,0,0,0,0,1,20,78
NA,30,0,0,1,0,0,0,0,0,0,31
